,video-id,t-start,t-end,label
0,1_7,7.072,46.288,0
1,1_7,50.264,82.31,0
2,1_7,92.60499999999999,135.293,0
3,1_7,136.004,185.49099999999999,0
4,1_7,197.26,224.69400000000002,0
5,1_7,225.06900000000002,305.248,0
6,1_7,313.233,347.534,0
7,1_7,359.299,421.415,0
8,1_7,424.715,482.251,0
9,1_7,500.174,567.261,0
10,1_7,568.444,587.236,0
11,1_7,587.915,592.802,0
12,1_10,11.749052505026611,46.436731329390895,0
13,1_10,49.51386412832644,87.83815444234182,0
14,1_10,91.4747659319929,136.22623827837478,0
15,1_10,138.19123660674157,227.42808777587226,0
16,1_10,228.82678450266116,273.86481910526317,0
17,1_10,276.10273386812537,324.7773799603785,0
18,1_10,330.6519062128918,367.77536421512747,0
19,1_10,372.89254736191606,406.4612688048492,0
20,1_10,412.0560557120047,432.7567672684802,0
21,1_10,433.3162459591957,461.5699198403312,0
22,1_10,462.10210688759724,469.4582485670554,0
23,1_14,0.799,87.74,0
24,1_14,93.5002075103489,120.33434778237728,0
25,1_14,125.3657490833826,192.0318163217031,0
26,1_14,200.417485156712,247.79651407451212,0
27,1_14,252.82791537551745,285.49209207569487,0
28,1_14,290.5273669004071,337.41851752198846,0
29,1_14,344.8223834096065,424.1495179198004,0
30,1_14,428.38029842701076,484.0855751052803,0
31,1_14,487.25866048568804,572.2268356721625,0
32,1_14,578.5730064329779,654.3744905204966,0
33,1_14,684.3425191132366,693.5092102121923,0
34,1_14,693.5125136620838,696.7887888109601,0
35,1_19,1.874,33.672550798344176,0
36,1_19,38.18960029568303,80.215,0
37,1_19,99.68395383402326,154.0604331886169,0
38,1_19,155.22224636309875,278.51800000000003,0
39,1_19,279.6464279716144,310.7950398047049,0
40,1_19,317.2493984624482,366.80006264537747,0
41,1_19,367.05426889414537,421.76727535974766,0
42,1_19,421.9705121336681,486.60942312241275,0
43,1_19,488.2519865759905,560.9354193968067,0
44,1_19,561.0820768480188,654.4539874531835,0
45,1_19,660.1853129530803,681.5133603051545,0
46,1_19,685.2704141975933,690.5887141600921,0
47,1_20,0.0,101.87100000000001,0
48,1_20,110.207,162.013,0
49,1_20,162.304,224.23968640272642,0
50,1_20,237.09416893111296,295.51762679791875,0
51,1_20,258.4494628487731,327.2077263987483,0
52,1_20,334.99807153002627,367.51429468666475,0
53,1_20,368.8526148470752,420.4576481854286,0
54,1_20,393.68353755103055,468.7029116646954,0
55,1_20,470.55751513995193,539.3589657522177,0
56,1_20,539.7300131632012,653.3806172875323,0
57,1_20,658.0348364748886,664.8946145866352,0
58,1_20,665.0422096933947,671.6443194765509,0
59,1_25,9.803,34.444,0
60,1_25,37.87136398580722,70.69321277350681,0
61,1_25,76.217,133.551,0
62,1_25,142.46846451803668,162.6665253104672,0
63,1_25,163.74856428149025,200.17720963926672,0
64,1_25,212.062,333.851,0
65,1_25,352.79200000000003,389.451,0
66,1_25,398.501,468.536,0
67,1_25,469.24423376700184,498.8199656416322,0
68,1_25,502.344,568.265,0
69,1_25,570.2345377291545,582.219,0
70,1_25,583.9403646954465,598.0068713187463,0
71,1_28,4.121,40.381,0
72,1_28,43.843,72.451,0
73,1_28,73.216,103.816,0
74,1_28,116.476,153.168,0
75,1_28,154.981,229.358,0
76,1_28,190.015,260.8,0
77,1_28,261.4458992533255,294.695,0
78,1_28,300.045,324.53,0
79,1_28,330.193,400.79,0
80,1_28,408.178,438.868,0
81,1_28,439.66820009867604,445.8981931369654,0
82,1_30,3.207,45.265,0
83,1_30,49.962,86.981,0
84,1_30,96.884,122.465,0
85,1_30,129.86,159.447,0
86,1_30,165.13,194.256,0
87,1_30,197.12,252.806,0
88,1_30,253.504,314.825,0
89,1_30,315.32,444.966,0
90,1_30,445.484,453.747,0
91,1_30,453.8,460.279,0
92,1_32,4.168,40.975,0
93,1_32,44.615,72.013,0
94,1_32,79.47800000000001,111.0,0
95,1_32,98.863,127.186,0
96,1_32,129.917,173.559,0
97,1_32,174.167,218.198,0
98,1_32,220.29818270068142,258.372,0
99,1_32,259.006,292.037,0
100,1_32,295.887,327.745,0
101,1_32,328.9127055246496,350.664,0
102,1_32,351.008,354.254,0
103,1_33,8.595,70.494,0
104,1_33,79.569,255.707,0
105,1_33,278.5853726157889,337.069,0
106,1_33,343.947,394.555,0
107,1_33,398.511,432.764,0
108,1_33,432.966,500.192,0
109,1_33,453.9597429201151,489.73104949843434,0
110,1_33,505.875621493959,540.3806871314528,0
111,1_33,541.3303678370719,604.9589751135512,0
112,1_33,606.8583365247894,631.2334746356795,0
113,1_33,610.0,620.0,0
114,1_34,1.3719999999999999,31.659,0
115,1_34,40.805,83.385,0
116,1_34,87.014,149.567,0
117,1_34,150.39274015722512,161.876,0
118,1_34,164.21938243817988,194.062,0
119,1_34,200.993,217.179,0
120,1_34,219.01385369974128,245.179,0
121,1_34,255.88489978228725,286.39,0
122,1_34,287.29356866741904,315.925,0
123,1_34,316.8245453909397,332.213,0
124,1_34,333.72377484543995,335.7721662944703,0
125,1_36,2.512,52.325,0
126,1_36,53.122,145.21699999999998,0
127,1_36,151.317,221.44299999999998,0
128,1_36,237.201,285.053,0
129,1_36,286.8595018977654,321.903,0
130,1_36,322.93492467250434,365.751,0
131,1_36,368.776,452.117,0
132,1_36,398.09205545321043,471.96500000000003,0
133,1_36,472.466,483.51,0
134,1_36,483.522,488.79,0
135,1_37,2.443475113605638,47.181,0
136,1_37,56.075,90.923,0
137,1_37,94.8443532677578,183.102,0
138,1_37,185.72548013647983,254.974,0
139,1_37,259.153,316.001,0
140,1_37,326.159,365.843,0
141,1_37,376.831,391.405,0
142,1_37,393.138,430.408,0
143,1_37,438.837,480.076,0
144,1_37,481.292,586.739,0
145,1_37,588.063,595.921,0
146,1_37,596.274,604.912,0
147,1_42,0.071,31.87,0
148,1_42,33.325,122.061,0
149,1_42,62.116,136.67,0
150,1_42,137.161,147.652,0
151,1_42,149.234,202.324,0
152,1_42,202.461,228.506,0
153,1_42,229.025,274.524,0
154,1_42,246.315,291.04200000000003,0
155,1_42,292.943,320.906,0
156,1_42,321.543,354.832,0
157,1_42,355.451,377.415,0
158,1_42,378.342,383.7334159237281,0
159,1_43,12.057,58.423,0
160,1_43,61.0,112.0,0
161,1_43,119.667,140.546,0
162,1_43,141.036,163.375,0
163,1_43,164.668,208.156,0
164,1_43,211.693,239.742,0
165,1_43,246.351,317.205,0
166,1_43,326.839,365.595,0
167,1_43,335.693,387.254,0
168,1_43,400.1810973590564,428.083,0
169,1_43,428.156,435.595,0
170,1_49,2.104336428661891,31.173,0
171,1_49,36.842,74.629,0
172,1_49,75.11423669668774,101.798,0
173,1_49,99.89566498609601,147.55225785034264,0
174,1_49,160.51485110941772,183.5806420557131,0
175,1_49,190.055,218.155,0
176,1_49,218.27464166088464,231.42786129141672,0
177,1_49,236.57477332075538,280.609,0
178,1_49,282.3251024704321,315.4940911039478,0
179,1_49,316.2565965897757,346.94744239435056,0
180,1_49,354.953749995544,369.250727854818,0
181,1_49,370.5851124550169,378.5914200562103,0
182,1_136,9.562,48.19,0
183,1_136,49.834,150.827,0
184,1_136,159.142,255.89,0
185,1_136,262.26800000000003,373.352,0
186,1_136,380.022,413.654,0
187,1_136,422.0,469.314,0
188,1_136,470.694,537.882,0
189,1_136,561.933,744.687,0
190,1_143,18.129,64.244,0
191,1_143,80.816,185.637,0
192,1_143,189.68529818614806,226.833,0
193,1_143,229.59961320355234,272.37,0
194,1_143,275.58090410360205,322.309,0
195,1_143,326.225,365.189,0
196,1_143,387.862,459.155,0
197,1_143,479.337,537.856,0
198,1_143,539.9733267788879,566.03,0
199,1_143,567.7536900310013,600.021,0
200,2_3,2.6533407117834398,82.25356206528662,0
201,2_3,98.17360633598726,143.28039843630575,0
202,2_3,161.85378341878982,321.05422612579616,0
203,2_3,329.0142482611465,429.8411953089171,0
204,2_3,435.14787673248406,451.06792100318467,0
205,2_3,456.37460242675155,498.82805381528664,0
206,2_3,504.1347352388535,525.361460933121,0
207,2_3,533.3214830684713,665.9885186576433,0
208,2_3,663.3351779458599,727.0153550286625,0
209,2_3,727.0153550286624,803.9622356703823,0
210,2_3,806.6155763821656,841.1090056353504,0
211,2_3,843.0,1204.6,0
212,2_3,1207.6,1219.2,0
213,2_3,1228.8,1564.8,0
214,2_3,1562.8176792404458,1602.6177899171973,0
215,2_3,1597.3111084936306,1653.0312634410827,0
216,2_4,1.5541534506369428,50.71661603024698,0
217,2_4,50.949865814029366,100.30754832137032,0
218,2_4,103.49191493474714,125.782481228385,0
219,2_4,127.3746645350734,178.32453034910276,0
220,2_4,178.3245303491028,313.6601114176183,0
221,2_4,318.4366613376835,345.50377755138663,0
222,2_4,358.241244004894,445.811325872757,0
223,2_4,445.8113258727569,466.50970885970634,0
224,2_4,464.9175255530179,493.57682507340945,0
225,2_4,493.57682507340945,562.0407072610114,0
226,2_4,560.4485239543229,577.9625403278957,0
227,2_4,582.7,757.8,0
228,2_4,757.8,777.0,0
229,2_4,776.9854536639477,874.1086353719413,0
230,2_4,874.1086353719413,894.8070183588907,0
231,2_4,893.2148350522024,971.2318170799348,0
232,2_5,3.165157748407643,77.54636483598726,0
233,2_5,77.54636483598726,101.2850479490446,0
234,2_5,98.11989020063696,147.17983530095543,0
235,2_5,166.17078179140128,224.7262001369427,0
236,2_5,229.47393675955414,303.8551438471338,0
237,2_5,307.0203015955414,370.3234565636942,0
238,2_5,368.74087768949045,382.9840875573248,0
239,2_5,398.8098762993631,485.8517143805733,0
240,2_5,485.8517143805733,519.0858707388536,0
241,2_5,519.0858707388535,599.7973933232485,0
242,2_5,598.2148144490446,628.2838130589172,0
243,2_5,626.7,750.1,0
244,2_5,748.55,767.55,0
245,2_5,769.1333328630574,878.3312751831211,0
246,2_5,875.1661174347134,892.5744850509554,0
247,2_5,890.9919061767516,990.6943752515924,0
248,2_8,4.426717021207177,84.1076234029364,0
249,2_8,86.32098191353998,137.2282276574225,0
250,2_8,135.0148691468189,292.16332339967374,0
251,2_8,287.73660637846655,301.0167574420881,0
252,2_8,301.0167574420881,498.00566488580745,0
253,2_8,500.2190233964111,559.979703182708,0
254,2_8,573.2598542463296,728.1949499885808,0
255,2_8,732.621667009788,792.3823467960848,0
256,2_8,799.0224223278957,825.5827244551388,0
257,2_8,836.6495170081566,940.6773670065253,0
258,2_8,938.4640084959217,965.0243106231649,0
259,2_8,1004.8,1117.7,0
260,2_8,1115.5,1153.15,0
261,2_8,1153.15978402447,1257.1876340228384,0
262,2_8,1254.974275512235,1281.534577639478,0
263,2_8,1277.1078606182707,1352.3620499787928,0
264,2_13,16.884383439490446,137.18561544585987,0
265,2_13,158.29109474522292,419.9990380573248,0
266,2_13,428.44122977707,445.32561321656067,0
267,2_13,457.9889007961783,521.3053386942674,0
268,2_13,517.0842428343949,582.5112286624204,0
269,2_13,578.2901328025478,599.3956121019107,0
270,2_13,605.7272558917198,753.4656109872611,0
271,2_13,753.4656109872611,774.5710902866242,0
272,2_13,776.6816382165605,831.5558843949044,0
273,2_13,827.3347885350317,903.3145140127389,0
274,2_13,903.3145140127389,939.193828821656,0
275,2_13,937.0,1053.1,0
276,2_13,1053.0,1084.0,0
277,2_13,1078.4899921974522,1186.1279366242038,0
278,2_13,1186.1279366242038,1222.0072514331212,0
279,2_13,1219.8967035031847,1308.5397165605095,0
280,2_17,6.268,117.613,0
281,2_17,118.219,321.394,0
282,2_17,322.295,400.20799999999997,0
283,2_17,401.027,442.446,0
284,2_17,449.196,462.584,0
285,2_17,464.21500000000003,516.434,0
286,2_17,521.222,564.654,0
287,2_17,567.203,615.51,0
288,2_17,620.685,716.504,0
289,2_17,723.36,885.517,0
290,2_17,886.205,912.236,0
291,2_17,917.0,1029.8,0
292,2_17,1030.0,1064.0,0
293,2_17,1065.299,1168.975,0
294,2_17,1169.3,1198.213,0
295,2_17,1198.65,1288.257,0
296,2_19,3.5158265382165603,93.16940326273885,0
297,2_19,107.23270941560509,237.3182913296178,0
298,2_19,240.83411786783438,277.75029651910825,0
299,2_19,283.0240363264331,305.87690882484077,0
300,2_19,312.9085619012739,483.42614900477713,0
301,2_19,485.18406227388533,536.1635470780254,0
302,2_19,543.1952001544586,592.4167716894904,0
303,2_19,592.4167716894905,608.237991111465,0
304,2_19,609.9959043805733,643.3962564936305,0
305,2_19,646.912083031847,704.9232209124203,0
306,2_19,703.1653076433121,717.2286137961783,0
307,2_19,748.9,854.3,0
308,2_19,856.1,885.988,0
309,2_19,889.5041141687898,1000.2526501226115,0
310,2_19,998.4947368535031,1014.3159562754777,0
311,2_19,1012.5580430063694,1082.8745737707006,0
312,2_22,8.446428458745787,106.18367205280538,0
313,2_22,108.59693732673267,150.82907962046204,0
314,2_22,149.62244698349835,162.89540599009908,0
315,2_22,160.4821407161716,184.61479345544558,0
316,2_22,187.02805872937293,252.18622112541254,0
317,2_22,266.6658127689769,403.0153007458745,0
318,2_22,405.42856601980196,427.14795348514843,0
319,2_22,427.1479534851485,458.5204020462046,0
320,2_22,460.93366732013203,495.9260137920792,0
321,2_22,534.5382581749175,608.1428490297029,0
322,2_22,611.762746940594,639.5152975907589,0
323,2_22,644.3,783.1,0
324,2_22,783.1,808.44,0
325,2_22,806.0306014917492,912.2142735445544,0
326,2_22,909.801008270627,937.5535589207919,0
327,2_22,938.7601915577557,1029.257639330033,0
328,2_26,8.065169636942676,62.50506468630573,0
329,2_26,62.505064686305744,173.40114719426754,0
330,2_26,177.43373201273886,215.74328778821658,0
331,2_26,217.7595801974522,260.10172079140136,0
332,2_26,266.1505980191083,397.2096046194268,0
333,2_26,445.6006224410828,493.9916402627388,0
334,2_26,496.0079326719746,524.236026401274,0
335,2_26,520.2034415828026,584.7247986783441,0
336,2_26,619.0017696353505,762.158530691083,0
337,2_26,764.1748231003186,834.7450574235671,0
338,2_26,830.71,963.7,0
339,2_26,961.7,992.0,0
340,2_26,987.9832805254779,1110.9771174888538,0
341,2_26,1108.960825079618,1177.514766993631,0
