video_id,gt_start,gt_end,best_iou,status,pred_start,pred_end,pred_score
1_7,7.072,46.288,0.1402,MISS,8.238994598388672,13.738273620605469,0.2199605852365493
1_7,50.264,82.31,0.404,MISS,45.946807861328125,64.95621490478516,0.1092674136161804
1_7,92.605,135.293,0.0722,MISS,6.2911882400512695,597.802001953125,0.2551478743553161
1_7,136.004,185.491,0.4477,MISS,142.2428436279297,164.39971923828125,0.2153090834617614
1_7,197.26,224.694,0.0464,MISS,6.2911882400512695,597.802001953125,0.2551478743553161
1_7,225.069,305.248,0.1932,MISS,288.21710205078125,313.2205810546875,0.1368722021579742
1_7,313.233,347.534,0.1193,MISS,249.5613555908203,537.0353393554688,0.1331601440906524
1_7,359.299,421.415,0.8499,HIT,365.8570556640625,418.6466979980469,0.1269336491823196
1_7,424.715,482.251,0.311,MISS,370.4553527832031,555.4759521484375,0.1136765927076339
1_7,500.174,567.261,0.6279,HIT,513.1162719726562,586.4051513671875,0.180514857172966
1_7,568.444,587.236,0.5601,HIT,570.7925415039062,597.802001953125,0.1370122581720352
1_7,587.915,592.802,0.1809,MISS,570.7925415039062,597.802001953125,0.1370122581720352
1_10,11.749052505026611,46.436731329390895,0.4211,MISS,25.391759872436523,61.7216682434082,0.1156042665243148
1_10,49.51386412832644,87.83815444234182,0.2672,MISS,76.19554901123047,93.07988739013672,0.1907859742641449
1_10,91.4747659319929,136.22623827837478,0.212,MISS,68.76045989990234,279.8261413574219,0.1879198998212814
1_10,138.19123660674157,227.42808777587223,0.4228,MISS,68.76045989990234,279.8261413574219,0.1879198998212814
1_10,228.8267845026612,273.8648191052632,0.4954,MISS,219.7605133056641,255.6326904296875,0.1372472196817398
1_10,276.10273386812537,324.7773799603785,0.59,HIT,281.6742248535156,310.3934020996094,0.101906694471836
1_10,330.6519062128918,367.77536421512747,0.3728,MISS,317.06695556640625,416.6478271484375,0.1206405609846115
1_10,372.89254736191606,406.4612688048492,0.3371,MISS,317.06695556640625,416.6478271484375,0.1206405609846115
1_10,412.0560557120047,432.7567672684802,0.5757,HIT,416.7136535644531,428.6320495605469,0.1270328313112259
1_10,433.3162459591957,461.5699198403312,0.5686,HIT,415.5351867675781,465.2233276367188,0.2260766923427581
1_10,462.1021068875973,469.4582485670554,0.3245,MISS,451.60882568359375,474.27740478515625,0.1356420367956161
1_14,0.799,87.74,0.4475,MISS,14.114766120910645,53.01689529418945,0.1183620765805244
1_14,93.5002075103489,120.33434778237728,0.5305,HIT,103.98424530029295,124.32225799560548,0.1013269498944282
1_14,125.3657490833826,192.0318163217031,0.4923,MISS,122.14407348632812,159.77333068847656,0.1350782364606857
1_14,200.417485156712,247.7965140745121,0.3816,MISS,212.1195526123047,230.19911193847656,0.1136844828724861
1_14,252.82791537551745,285.49209207569487,0.2809,MISS,273.14471435546875,296.7816162109375,0.165642037987709
1_14,290.5273669004071,337.41851752198846,0.3145,MISS,293.7479248046875,308.4933166503906,0.169176235795021
1_14,344.8223834096065,424.1495179198004,0.2769,MISS,328.16534423828125,371.4048767089844,0.1027100533246994
